Dates,SP1 Index,GX1 Index,Z1 Index,NK1 Index,SP1 Index_position,GX1 Index_position,Z1 Index_position,NK1 Index_position,Risk_Index,SP1 Index_returns,GX1 Index_returns,Z1 Index_returns,NK1 Index_returns,SP1 Index_strat,GX1 Index_strat,Z1 Index_strat,NK1 Index_strat,Total
1990-12-28,331.65,942.55177,4248.725,178.95204,0.0,0.0,0.0,0.0,1.8457036803967792,0.002569528415961253,0.021320257366803652,0.012613804280471097,-0.009009520876101962,0.0,0.0,0.0,-0.0,0.0
1990-12-31,330.65,942.55177,4197.75,178.95204,0.0,0.0,0.0,0.0,1.968829211513437,-0.003015226895823897,0.0,-0.011997716962147575,0.0,-0.0,0.0,-0.0,0.0,0.0
1991-01-01,330.65,942.55177,4197.75,178.95204,0.0,0.0,0.0,0.0,1.9636511010347255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-02,326.85,916.77852,4202.709,178.95204,0.0,0.0,0.0,0.0,2.012604258343063,-0.01149251474368651,-0.02734412137383191,0.0011813471502590822,0.0,-0.0,-0.0,0.0,0.0,0.0
1991-01-03,324.15,922.48945,4206.171,178.95204,0.0,0.0,0.0,0.0,2.0414125185335537,-0.00826067003212494,0.006229345338501169,0.000823754392702547,0.0,-0.0,0.0,0.0,0.0,0.0
1991-01-04,323.25,940.96186,4194.2285,182.82754,0.0,0.0,0.0,0.0,1.9221779685452656,-0.002776492364645944,0.020024521689651742,-0.002839280666430355,0.0216566405166434,-0.0,0.0,-0.0,0.0,0.0
1991-01-07,317.55,890.23674,4085.984,177.10315,0.0,0.0,0.0,0.0,2.3241518435867006,-0.017633410672853844,-0.053907732243260065,-0.025807964444474196,-0.031310326660852095,-0.0,-0.0,-0.0,-0.0,-0.0
1991-01-08,317.2,894.33814,4053.648,170.83181,0.0,0.0,0.0,0.0,2.238938086826208,-0.0011021886317116314,0.004607089121035246,-0.0079138831674328,-0.03541066322084052,-0.0,0.0,-0.0,-0.0,0.0
1991-01-09,312.65,916.05574,4122.09,175.30772,0.0,0.0,0.0,0.0,1.8205352733097548,-0.014344262295082011,0.02428343266228139,0.016884051106558884,0.026200682413890064,-0.0,0.0,0.0,0.0,0.0
1991-01-10,316.0,909.15024,4127.662,173.92273,0.0,0.0,0.0,0.0,1.9096425626073779,0.010714856868702993,-0.007538296741637085,0.0013517414709529607,-0.007900336619516724,0.0,-0.0,0.0,-0.0,0.0
1991-01-11,316.2,900.19569,4115.556,176.16387,0.0,0.0,0.0,0.0,1.9157703080887232,0.0006329113924050667,-0.009849362191226008,-0.002932895183762829,0.012885837291077396,0.0,-0.0,-0.0,0.0,0.0
1991-01-14,314.35,859.82519,4026.96,174.00963,0.0,0.0,0.0,0.0,2.1222527781672076,-0.005850727387729182,-0.04484636001756459,-0.02152710350679221,-0.012228614187460907,-0.0,-0.0,-0.0,-0.0,-0.0
1991-01-15,314.35,863.77769,3988.1,174.00963,0.0,0.0,0.0,0.0,1.9847855797136216,0.0,0.004596864625471042,-0.009649959274489972,0.0,0.0,0.0,-0.0,0.0,0.0
1991-01-16,318.15,859.45596,3983.723,166.5327,0.0,0.0,0.0,0.0,2.2327829406572643,0.012088436456179297,-0.0050032896774632185,-0.0010975151074446021,-0.04296848398562758,0.0,-0.0,-0.0,-0.0,0.0
1991-01-17,332.0,859.45596,4151.01,178.28116,0.0,0.0,0.0,0.0,1.1631112712306515,0.04353292472104364,0.0,0.04199262850353813,0.07054746605321349,0.0,0.0,0.0,0.0,0.0
1991-01-18,333.9,944.14894,4164.1065,182.07831,0.0,0.0,0.0,0.0,1.7976273990368494,0.005722891566265043,0.09854254777638638,0.003155015285436491,0.02129866105874556,0.0,0.0,0.0,0.0,0.0
1991-01-21,332.95,941.05827,4163.364,179.78039,0.0,0.0,0.0,0.0,2.0456303794049564,-0.002845163222521707,-0.003273498352918791,-0.0001783095605264462,-0.012620503782136305,-0.0,-0.0,-0.0,-0.0,-0.0
1991-01-22,329.85,927.0903,4105.895,180.33409,0.0,0.0,0.0,0.0,2.062904055952032,-0.009310707313410327,-0.014842832208466827,-0.013803501207196645,0.0030798687220559007,-0.0,-0.0,-0.0,0.0,0.0
1991-01-23,331.4,921.37097,4159.281,177.47904,0.0,0.0,0.0,0.0,1.984844259649409,0.004699105654085045,-0.006169118585319988,0.013002280866899696,-0.015832003810261286,0.0,-0.0,0.0,-0.0,0.0
1991-01-24,336.8,930.53779,4184.246,179.53566,0.0,0.0,0.0,0.0,1.7926694656805635,0.016294508147254083,0.009949108772115967,0.006002239329345738,0.011587959907829237,0.0,0.0,0.0,0.0,0.0
1991-01-25,337.9,933.55705,4193.851,180.91782,0.0,0.0,0.0,0.0,1.8604444713472752,0.0032660332541567527,0.003244639854981024,0.0022955151298464926,0.007698526298340891,0.0,0.0,0.0,0.0,0.0
