Dates,SP1 Index,GX1 Index,Z1 Index,NK1 Index,SP1 Index_position,GX1 Index_position,Z1 Index_position,NK1 Index_position,Risk_Index,SP1 Index_returns,GX1 Index_returns,Z1 Index_returns,NK1 Index_returns,SP1 Index_strat,GX1 Index_strat,Z1 Index_strat,NK1 Index_strat,Total
2003-03-06,821.8,2682.84165,5684.50015,71.14827,0.0,0.0,0.0,0.0,1.845745594939456,-0.009282700421941015,-0.029204609484094535,-0.001628603725257305,-0.016509359630425324,-0.0,-0.0,-0.0,-0.0,-0.0
2003-03-07,828.6,2681.56,5558.0318,69.60179,0.0,0.0,0.0,0.0,1.8717875994526838,0.008274519347773346,-0.0004777210760835704,-0.022247927990643124,-0.021736016912287548,0.0,-0.0,-0.0,-0.0,0.0
2003-03-10,807.8,2572.7312,5475.0843,69.1608,0.0,0.0,0.0,0.0,1.942142627411524,-0.025102582669563223,-0.040584137591551106,-0.014923898060460794,-0.006335900269231587,-0.0,-0.0,-0.0,-0.0,-0.0
2003-03-11,800.2,2536.9465,5513.9738,66.96276,0.0,0.0,0.0,0.0,1.8471342034334,-0.00940826937360717,-0.013909226117365114,0.007102995656158129,-0.03178158725752145,-0.0,-0.0,0.0,-0.0,0.0
2003-03-12,805.7,2425.28,5271.284,68.04986,0.0,0.0,0.0,0.0,1.8823195217041386,0.006873281679580012,-0.04401610361117181,-0.04401359324558274,0.01623439655115755,0.0,-0.0,-0.0,0.0,0.0
2003-03-13,833.3,2551.5841,5567.3086,66.74552,0.0,0.0,0.0,0.0,1.566469630864819,0.03425592652351983,0.05207815180102915,0.05615796834319697,-0.01916741636206154,0.0,0.0,0.0,-0.0,0.0
2003-03-14,834.2,2572.8824,5700.165,67.46601,0.0,0.0,0.0,0.0,1.6815551214249242,0.0010800432017281647,0.008347089167078492,0.023863667266441846,0.010794582168211386,0.0,0.0,0.0,0.0,0.0
2003-03-17,862.0,2656.593,5823.4692,65.39693,0.0,0.0,0.0,0.0,1.6460575971431708,0.03332534164468948,0.032535727245053936,0.021631689608984983,-0.030668480320682923,0.0,0.0,0.0,-0.0,0.0
2003-03-18,867.2,2741.9928,5832.34515,66.62741,0.0,0.0,0.0,0.0,1.7327186052314052,0.006032482598608002,0.0321463619003739,0.00152416878928463,0.018815562137244113,0.0,0.0,0.0,0.0,0.0
2003-03-19,873.5,2770.08855,5908.44045,66.89936,0.0,0.0,0.0,0.0,1.74392314515248,0.007264760147601468,0.0102464711067074,0.013047118790629142,0.004081653481652792,0.0,0.0,0.0,0.0,0.0
2003-03-20,875.7,2779.2463,5888.8808,68.21396,0.0,0.0,0.0,0.0,1.7232807427054104,0.0025186033199771085,0.003305941248701094,-0.0033104590230743636,0.01965041220125263,0.0,0.0,-0.0,0.0,0.0
2003-03-21,893.2,2834.54036,6024.9582,68.21396,0.0,0.0,0.0,0.0,1.6338462688788287,0.019984012789768135,0.019895343568506307,0.023107514759001413,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-24,863.5,2750.4096,5887.148,69.6538,0.0,0.0,0.0,0.0,1.9079865399590317,-0.03325123152709364,-0.029680565211638088,-0.022873220929565896,0.02110770288075936,-0.0,-0.0,-0.0,0.0,0.0
2003-03-25,872.2,2817.72205,5934.4824,68.20828,0.0,0.0,0.0,0.0,1.7872176476433448,0.010075275043427867,0.024473609312591016,0.00804029387404559,-0.02075292374572535,0.0,0.0,0.0,-0.0,0.0
2003-03-26,868.0,2782.6994,5974.8761,69.79262,0.0,0.0,0.0,0.0,1.7269173918389744,-0.0048154093097914075,-0.012429419715120571,0.006806608778551659,0.023227971735982678,-0.0,-0.0,0.0,0.0,0.0
2003-03-27,867.4,2788.263,5841.5049,69.46298,0.0,0.0,0.0,0.0,1.8557882995173833,-0.0006912442396314056,0.0019993535773212834,-0.022322002626966708,-0.004723135483379104,-0.0,0.0,-0.0,-0.0,0.0
2003-03-28,862.9,2764.4518,5842.122,69.07758,0.0,0.0,0.0,0.0,1.8268731840724106,-0.0051879179156099076,-0.008539796999063598,0.00010564058587037017,-0.0055482790977294805,-0.0,-0.0,0.0,-0.0,0.0
2003-03-31,847.0,2660.088,5704.49875,66.75703,0.0,0.0,0.0,0.0,1.9587533553329666,-0.01842623710742841,-0.03775207800693059,-0.02355706539507396,-0.03359338876665918,-0.0,-0.0,-0.0,-0.0,-0.0
2003-04-01,856.7,2674.3964,5811.3986,67.73784,0.0,0.0,0.0,0.0,1.6885250761117703,0.011452184179457037,0.005378919795134607,0.01873956936181309,0.014692235409514254,0.0,0.0,0.0,0.0,0.0
2003-04-02,877.2,2789.2115,5887.408,67.7127,0.0,0.0,0.0,0.0,1.6590466996003366,0.02392902999883262,0.04293121991938054,0.013079364406358263,-0.00037113672358035643,0.0,0.0,0.0,-0.0,0.0
2003-04-03,873.3,2760.4827,5930.7156,66.84514,0.0,0.0,0.0,0.0,1.7917350783403045,-0.0044459644322846215,-0.010299971873771407,0.007355970573128312,-0.012812367547003656,-0.0,-0.0,0.0,-0.0,0.0
2003-04-04,878.5,2847.5154,5951.0185,67.39982,0.0,0.0,0.0,0.0,1.7557059154861092,0.005954425741440561,0.03152807297071636,0.0034233474287654886,0.008297985463116664,0.0,0.0,0.0,0.0,0.0
2003-04-07,876.9,2996.0332,6109.389,68.94833,0.0,0.0,0.0,0.0,1.6460826103471928,-0.0018212862834376953,0.052156978676919374,0.026612335350663097,0.02297498717355606,-0.0,0.0,0.0,0.0,0.0
2003-04-08,878.3,2967.094,6000.8242,67.50563,0.0,0.0,0.0,0.0,1.8761735547271772,0.0015965332421028489,-0.009659172001164729,-0.01777015672107307,-0.02092436466554015,0.0,-0.0,-0.0,-0.0,0.0
2003-04-09,866.8,2962.01345,6038.6416,67.01588,0.0,0.0,0.0,0.0,1.8306200927060856,-0.013093476033246065,-0.0017122982959084654,0.006302034310553539,-0.0072549504389486374,-0.0,-0.0,0.0,-0.0,0.0
2003-04-10,871.7,2932.743,5981.79,66.77824,0.0,0.0,0.0,0.0,1.8021154798620937,0.005652976465159387,-0.009881943648837876,-0.00941463391369346,-0.0035460252107410994,0.0,-0.0,-0.0,-0.0,0.0
2003-04-11,868.2,2950.1178,6001.8508,65.11821,0.0,0.0,0.0,0.0,1.8584070239898915,-0.0040151428243662135,0.005924419562164163,0.0033536449791784495,-0.024858846234941057,-0.0,0.0,0.0,-0.0,0.0
2003-04-14,886.0,3015.90135,6069.0198,64.55097,0.0,0.0,0.0,0.0,1.7003711152279455,0.020502188435844282,0.022298618041625362,0.011191381165289949,-0.00871092740417767,0.0,0.0,0.0,-0.0,0.0
2003-04-15,893.7,3077.715,6135.963,65.38558,0.0,0.0,0.0,0.0,1.6821552261810324,0.008690744920993199,0.02049591244090254,0.011030314977716671,0.012929472632247085,0.0,0.0,0.0,0.0,0.0
2003-04-16,878.8,3099.4784,6077.55465,65.71714,0.0,0.0,0.0,0.0,1.8470298553618407,-0.016672261385252463,0.007071285028015906,-0.009519019263968809,0.005070842837212597,-0.0,0.0,-0.0,0.0,0.0
2003-04-17,891.2,3165.789,6120.19265,65.419,0.0,0.0,0.0,0.0,1.7201345017784708,0.014110150204824867,0.02139411586155915,0.007015650612043345,-0.004536715992205398,0.0,0.0,0.0,-0.0,0.0
2003-04-18,891.2,3165.789,6120.19265,65.74221,0.0,0.0,0.0,0.0,1.7663831466557218,0.0,0.0,0.0,0.004940613583209741,0.0,0.0,0.0,0.0,0.0
2003-04-21,893.0,3165.789,6120.19265,66.18562,0.0,0.0,0.0,0.0,1.7754312282520466,0.0020197486535007414,0.0,0.0,0.006744677430223334,0.0,0.0,0.0,0.0,0.0
2003-04-22,909.5,3259.25335,6188.54405,64.80941,0.0,0.0,0.0,0.0,1.7184637042191961,0.018477043673012394,0.029523240493917857,0.011168177851395011,-0.02079318740233904,0.0,0.0,0.0,-0.0,0.0
2003-04-23,917.5,3246.64845,6279.749,64.68198,0.0,0.0,0.0,0.0,1.7128270966590133,0.008796041781198527,-0.003867419511895176,0.014737707167164604,-0.0019662268179884146,0.0,-0.0,0.0,-0.0,0.0
2003-04-24,909.8,3213.1314,6223.17555,65.35893,0.0,0.0,0.0,0.0,1.8032337212876723,-0.008392370572207097,-0.01032358461847016,-0.009008871214438607,0.01046582061959156,-0.0,-0.0,-0.0,0.0,0.0
2003-04-25,898.6,3153.2709,6160.572,64.08978,0.0,0.0,0.0,0.0,1.924356503245774,-0.012310397889646052,-0.018629957056845003,-0.010059743533990417,-0.019418157549396797,-0.0,-0.0,-0.0,-0.0,-0.0
2003-04-28,913.6,3254.47765,6267.7733,63.35631,0.0,0.0,0.0,0.0,1.6902371125269795,0.016692632984642852,0.0320957993174642,0.017401192616529615,-0.011444414382449142,0.0,0.0,0.0,-0.0,0.0
2003-04-29,916.1,3233.548,6248.229,63.35631,0.0,0.0,0.0,0.0,1.7792527998832535,0.0027364273204903977,-0.0064310320275206,-0.00311822062868794,0.0,0.0,-0.0,-0.0,0.0,0.0
2003-04-30,916.1,3274.4012,6263.1478,65.30304,0.0,0.0,0.0,0.0,1.6763213068568519,0.0,0.012634171504489755,0.002387684574300941,0.030726694783834496,0.0,0.0,0.0,0.0,0.0
2003-05-01,915.0,3274.4012,6249.8448,66.18887,0.0,0.0,0.0,0.0,1.7784434368937414,-0.0012007422770440312,0.0,-0.0021240118267685792,0.013564912138853025,-0.0,0.0,-0.0,0.0,0.0
2003-05-02,927.4,3353.7312,6333.035,66.70027,0.0,0.0,0.0,0.0,1.6803511406208091,0.013551912568305902,0.02422733048106629,0.013310762532855236,0.007726374540009573,0.0,0.0,0.0,0.0,0.0
2003-05-05,926.3,3413.91375,6344.885,66.70027,0.0,0.0,0.0,0.0,1.7927465166622638,-0.001186111710157478,0.01794495337014479,0.0018711407721574425,0.0,-0.0,0.0,0.0,0.0,0.0
2003-05-06,934.7,3478.545,6459.284,68.63244,0.0,0.0,0.0,0.0,1.612477404252345,0.009068336392097587,0.018931717299536244,0.018030114020979093,0.02896794870545505,0.0,0.0,0.0,0.0,0.0
2003-05-07,929.5,3413.07395,6386.3862,69.43967,0.0,0.0,0.0,0.0,1.8039738547763897,-0.0055632823365786566,-0.01882138940275324,-0.011285740029390201,0.011761639248145661,-0.0,-0.0,-0.0,0.0,0.0
2003-05-08,920.4,3326.6352,6288.28975,68.88585,0.0,0.0,0.0,0.0,1.893233213127715,-0.009790209790209836,-0.025325777075530298,-0.01536024395142277,-0.007975556335449219,-0.0,-0.0,-0.0,-0.0,-0.0
2003-05-09,932.2,3387.2214,6383.0988,69.33902,0.0,0.0,0.0,0.0,1.6639711182865604,0.012820512820512997,0.018212456839270974,0.015077080377856378,0.0065785643931228766,0.0,0.0,0.0,0.0,0.0
2003-05-12,944.2,3399.7857,6429.14775,70.37797,0.0,0.0,0.0,0.0,1.685438828343615,0.012872774082814953,0.0037093235180907236,0.007214199786473641,0.014983626823684482,0.0,0.0,0.0,0.0,0.0
2003-05-13,942.8,3348.8408,6435.6085,70.50347,0.0,0.0,0.0,0.0,1.7844018124849736,-0.0014827367083245502,-0.0149847385969063,0.0010049154648841263,0.0017832284733416692,-0.0,-0.0,0.0,0.0,0.0
